,function,language,stars_mean,watchers_mean,forks_mean
246,alexa-super-heroes,Python,0,1,0
217,algorithmia,JavaScript,42,7,23
52,amazon-cloudfront-access-logs-queries,JavaScript,27,4,23
33,amazon-cognito-passwordless-email-auth,TypeScript,83,5,31
277,amazon-cognito-passwordless-facial-rekognition-auth,JavaScript,13,4,4
385,amazon-connect-outbound-prompt-call,Makefile,50,3,15
287,amazon-elasticsearch-service-with-cognito,TypeScript,11,4,2
300,amazon-pinpoint-call-generator,JavaScript,6,2,4
428,amplify-console-notification,TypeScript,0,1,0
69,amplify-passwordless-sms-auth,Swift,26,4,30
36,api-gateway-authorizer-nodejs,JavaScript,42,7,22
95,api-gateway-authorizer-python,JavaScript,42,7,22
432,api-gateway-component,None,0,2,0
14,api-gateway-dev-portal,JavaScript,528,35,181
241,api-gateway-multiple-origin-cors,Python,6682,333,1699
138,api-lambda-delete-dynamodb,JavaScript,1,1,0
58,api-lambda-get-all-dynamodb,JavaScript,1,1,0
57,api-lambda-get-one-dynamodb,JavaScript,6,1,0
17,api-lambda-save-dynamodb,JavaScript,36,3,10
497,api-lambda-send-bulk-templated-email-ses,JavaScript,0,1,0
20,api-lambda-send-email-ses,JavaScript,18,2,3
387,api-lambda-send-templated-email-ses,JavaScript,4,2,0
93,api-lambda-sns-publisher,JavaScript,0,1,1
87,api-lambda-stripe-charge,JavaScript,30,3,5
54,api-lambda-update-dynamodb,JavaScript,3,2,1
294,api-websockets-push-notifications-dynamodb,JavaScript,2,1,1
222,appsync-broadcaster,JavaScript,12,1,2
326,appsync-graphql-crud-dynamodb,None,9,1,1
188,async-custom-metrics,JavaScript,17,1,0
215,aurora-api,JavaScript,0,1,0
175,auto-set-log-group-retention,JavaScript,30,2,4
83,auto-subscribe-log-group-to-arn,JavaScript,30,2,4
320,autodeploy-layer,JavaScript,8,1,1
473,aws-bills-to-telegram,Python,1,1,0
461,aws-console-sign-in-to-telegram,Python,0,1,0
29,aws-deployment-framework,Python,248,34,77
192,aws-dynamodb-stream-eventbridge-fanout,Java,18,9,3
223,aws-health-event-to-slack-message,Python,5,1,1
252,aws-internal-healthcheck,JavaScript,4,1,2
66,aws-lambda-power-tuning,JavaScript,969,34,55
207,aws-private-ca-policy-venafi,Go,3,8,2
71,aws-sagemaker-ground-truth-recipe,Python,6,1,6
322,aws-sam-codebuild-ci,None,15,11,6
302,aws-sam-codepipeline-cd,None,24,11,12
123,aws-serverless-codepipeline-serverlessrepo-publish,Python,11,11,7
463,aws-serverless-financial-functions-effect,Python,38,19,8
301,aws-serverless-financial-functions-fv,Python,38,19,8
449,aws-serverless-financial-functions-fvschedule,Python,38,19,8
419,aws-serverless-financial-functions-irr,Python,38,19,8
354,aws-serverless-financial-functions-mirr,Python,38,19,8
418,aws-serverless-financial-functions-nominal,Python,38,19,8
447,aws-serverless-financial-functions-nper,Python,38,19,8
398,aws-serverless-financial-functions-npv,Python,38,19,8
359,aws-serverless-financial-functions-pmt,Python,38,19,8
381,aws-serverless-financial-functions-ppmt,Python,38,19,8
292,aws-serverless-financial-functions-pv,Python,38,19,8
448,aws-serverless-financial-functions-rate,Python,38,19,8
399,aws-serverless-financial-functions-sln,Python,38,19,8
272,aws-serverless-financial-functions-wrapper,Python,38,19,8
267,aws-serverless-financial-functions-xirr,Python,38,19,8
468,aws-serverless-financial-functions-xnpv,Python,38,19,8
195,aws-serverless-sns-forwarder,Python,6,10,4
85,aws-serverless-sqs-event-source,Java,32,7,12
63,aws-serverless-twitter-event-source,Python,65,14,17
417,aws-serverless-website-canary,JavaScript,4,1,0
505,aws-serverlessrepo-auto-deploy,Python,0,1,0
394,aws-services-by-region,Python,0,1,0
247,aws-sns-to-slack-publisher,Python,18,1,7
293,aws-sqs-dlq-redriver,Python,3,1,2
273,aws-support-bot,Python,0,0,1
164,aws-tag-explorer,Python,10,1,3
469,awscallouts,Python,0,1,0
430,birthday-to-age,Go,0,1,0
279,blur,JavaScript,90,8,40
336,blur-faces-rekognition,Python,2,1,0
454,buildkite-serverless-agent,Go,11,0,2
227,cfn-look-up-ami-ids,JavaScript,42,7,23
323,cfn-news-to-telegram,HTML,1,1,0
236,cfn-stack-outputs,JavaScript,42,7,23
501,check-datadog-custom-metrics-usage,JavaScript,0,0,0
446,chime-eks-top,Makefile,1,1,0
179,cloudfront-ab-test,JavaScript,42,7,23
250,cloudfront-access-request-in-response,JavaScript,42,7,23
39,cloudfront-authorization-at-edge,TypeScript,45,7,13
451,cloudfront-cdn,JavaScript,1,1,0
55,cloudfront-http-redirect,JavaScript,42,7,22
238,cloudfront-modify-querystring,JavaScript,42,7,23
50,cloudfront-modify-response-header,JavaScript,42,7,22
318,cloudfront-multiple-remote-calls-aggregate-response,JavaScript,42,7,23
132,cloudfront-redirect-on-viewer-country,JavaScript,42,7,22
142,cloudfront-redirect-unauthenticated-users,JavaScript,42,7,22
15,cloudfront-response-generation,JavaScript,42,7,22
173,cloudfront-s3-origin-website-redirects,JavaScript,1,0,2
411,cloudfront-security-group-update-ips,Python,0,1,0
491,cloudfront-sg-manager,Python,1,1,0
237,cloudfront-simple-remote-call,JavaScript,42,7,23
27,cloudwatch-alarm-to-slack,JavaScript,42,7,22
134,cloudwatch-alarm-to-slack-python,JavaScript,42,7,22
41,cloudwatch-alarm-to-slack-python3,JavaScript,42,7,22
437,cloudwatch-alarms-macro,JavaScript,16,2,1
184,cloudwatch-loggly-forwarder,Ruby,10,12,0
453,cloudwatch-logs-janitor,Python,0,0,0
140,cloudwatch-logs-process-data,JavaScript,42,7,22
190,cloudwatch-logs-to-loggly,JavaScript,42,7,23
422,codedeployhook,Go,0,4,0
305,codepipeline-s3-deploy,JavaScript,0,1,0
436,codepipeline-s3-objects-public-read,JavaScript,0,1,2
415,codepipeline-s3-objects-public-read-multi-buildartifact,JavaScript,0,1,0
388,codepipeline-versioner,JavaScript,0,1,0
168,cognito-sync-trigger,JavaScript,42,7,23
374,comment-moderator,JavaScript,0,0,0
450,commentable-rs,Rust,4,2,0
96,compress,JavaScript,90,8,40
484,config-rule-change-triggered,JavaScript,42,7,23
506,config-rule-periodic,JavaScript,42,7,23
481,create-databases-in-rds,Python,0,23,0
482,create-databases-is-rds,Python,0,23,0
240,crop,JavaScript,90,8,40
225,cw-logs-to-chime,Python,0,1,0
60,cw-logs-to-lambda,Python,1,1,0
61,cw-logs-to-slack,Makefile,4,1,3
338,daily-billing-report-to-slack,Python,0,1,0
174,datadog-process-rds-metrics,JavaScript,42,7,23
288,dazn-lambda-powertools,JavaScript,230,98,21
121,ddb-copier,Java,5,2,3
229,deno,TypeScript,147,8,2
367,deno-hello-world,TypeScript,147,8,2
160,deploy-to-s3,Python,15,4,8
389,detect-stack-drifts,Python,3,1,1
355,dungeon-maestro-slack-bot,Go,3,1,0
490,dynamic-security-group-builder,Makefile,50,3,15
308,dynamodb-history-storer,JavaScript,9,2,1
130,dynamodb-lambda-publisher-sns,JavaScript,0,1,0
119,dynamodb-lex,JavaScript,2,2,1
499,dynamodb-local-python,Python,6,0,2
493,dynamodb-process-stream,JavaScript,42,7,23
443,dynamodb-process-stream-python,JavaScript,42,7,23
89,dynamodb-process-stream-python3,JavaScript,42,7,22
444,dynamodb-scaling-event-to-datadog,Python,0,1,0
460,dynamodb-table-storage-metrics,Python,0,1,0
375,dynamodb-to-s3-importer,JavaScript,0,1,0
459,ec2-cleanup,Go,0,0,0
328,ec2-spot-interruption-logging-insights,Jupyter Notebook,599,63,203
180,ecr-deploy,Python,8,1,3
488,ecs-svc-custom-metrics-logger,Python,100,12,64
480,ecs-task-stats-logger,Python,100,12,64
467,eks-auth-update-hook,Makefile,61,5,26
270,eks-lambda-drainer,None,0,0,0
97,elasticsearch-cleanup,Python,99,16,63
265,exif-metadata-extractor,Python,4,1,1
395,exif-reader,Perl,2,1,2
377,failed-emr-info,Python,0,1,1
21,ffmpeg-lambda-layer,JavaScript,103,10,21
117,fork-event-replay-pipeline,Python,105,19,16
118,fork-event-search-analytics-pipeline,Python,105,19,16
81,fork-event-storage-backup-pipeline,Python,105,19,16
135,fork-example-ecommerce-checkout-api,Python,105,19,16
133,fork-example-ecommerce-checkout-pipeline,Python,105,19,16
409,format-splunk-aws-sns-alert,Python,0,1,0
423,fqdnService,TypeScript,0,9,0
92,galleria,JavaScript,90,8,40
325,generic-webhook-to-eventbridge,TypeScript,18,2,2
348,generic-webhook-to-sns,TypeScript,3,3,0
193,getting-started-with-dynamodb-reviews-inserter,Python,0,2,1
94,ghostscript-lambda-layer,Makefile,5,1,0
126,github-codebuild-logs,Python,29,4,5
475,github-webhook-slack-notifier,JavaScript,0,1,0
329,guardduty-log-uploader,Go,3,1,1
48,hello-go-serverless-webapp,Go,19,3,4
1,hello-world,JavaScript,42,7,22
22,hello-world-python,JavaScript,42,7,22
8,hello-world-python3,JavaScript,42,7,22
148,helloWorldLex,JavaScript,23,3,10
226,hotdog-detector,Python,91,38,25
16,https-request,JavaScript,42,7,22
285,human-trafficking-facts,JavaScript,0,0,0
413,human-trafficking-goods-indicator-api,Python,0,0,0
10,image-magick-lambda-layer,JavaScript,67,5,39
145,image-moderation-chatbot,Python,122,47,53
32,image-processing-service,JavaScript,42,7,22
351,image-proxy,Go,5,0,1
