function,stars,watchers,forks,language
ses-notification-nodejs,42.0,7.0,22.0,JavaScript
lex-book-trip,42.0,7.0,22.0,JavaScript
workmail-hello-world-python,7.0,3.0,5.0,Python
lambda-canary-python3,42.0,7.0,22.0,JavaScript
acloudguru-alexadevs-leaderboard,4.0,7.0,6.0,JavaScript
sumologic-securityhub-collector,98.0,47.0,107.0,Python
Pandas,853.0,43.0,160.0,Python
sqs-to-dynamodb,0.0,1.0,1.0,JavaScript
s3-replicator,5.0,2.0,3.0,JavaScript
sumologic-slack,0.0,29.0,1.0,Python
fork-event-replay-pipeline,105.0,19.0,16.0,Python
fork-event-search-analytics-pipeline,105.0,19.0,16.0,Python
dynamodb-lex,2.0,2.0,1.0,JavaScript
sns-lambda-subscriber-dynamodb,2.0,1.0,0.0,JavaScript
ddb-copier,5.0,2.0,3.0,Java
ALB-Lambda-Target-WhatisMyIP,211.0,22.0,67.0,Java
aws-serverless-codepipeline-serverlessrepo-publish,11.0,11.0,7.0,Python
sns-subscriber-lambda-s3,3.0,1.0,1.0,JavaScript
machine-learning-with-scikit-learn-on-lamdba,11.0,0.0,4.0,Python
github-codebuild-logs,29.0,4.0,5.0,Python
lex-order-flowers,42.0,7.0,22.0,JavaScript
kinesis-firehose-process-record-streams-as-source,42.0,7.0,22.0,JavaScript
tweet-sentiment,1.0,1.0,0.0,Python
dynamodb-lambda-publisher-sns,0.0,1.0,0.0,JavaScript
stu,23.0,4.0,9.0,HTML
cloudfront-redirect-on-viewer-country,42.0,7.0,22.0,JavaScript
fork-example-ecommerce-checkout-pipeline,105.0,19.0,16.0,Python
cloudwatch-alarm-to-slack-python,42.0,7.0,22.0,JavaScript
fork-example-ecommerce-checkout-api,105.0,19.0,16.0,Python
whats-your-name,15.0,2.0,2.0,Python
rotate,90.0,8.0,40.0,JavaScript
api-lambda-delete-dynamodb,1.0,1.0,0.0,JavaScript
kinesis-process-record,42.0,7.0,22.0,JavaScript
cloudwatch-logs-process-data,42.0,7.0,22.0,JavaScript
ThundraHelloWorld,13.0,4.0,4.0,Java
cloudfront-redirect-unauthenticated-users,42.0,7.0,22.0,JavaScript
sfn-callback-urls,34.0,1.0,4.0,Python
sumologic-mongodb-atlas,0.0,5.0,2.0,Python
image-moderation-chatbot,122.0,47.0,53.0,Python
Twitter-Poller-to-Kinesis-Firehose,102.0,26.0,46.0,Python
lex-make-appointment,42.0,7.0,23.0,JavaScript
helloWorldLex,23.0,3.0,10.0,JavaScript
NYC-Parks-Events-Crawler,8.0,0.0,4.0,Python
ImageProcessingPython,853.0,43.0,160.0,Python
s3-static-site,6.0,1.0,2.0,None
requests-python-layer-app,1.0,1.0,0.0,Shell
timber-logging,3.0,8.0,2.0,Python
ses-notification-python,42.0,7.0,23.0,JavaScript
kinesis-process-record-python,42.0,7.0,23.0,JavaScript
kinesis-analytics-process-record-python,42.0,7.0,23.0,JavaScript
inbound-ses-spam-filter,42.0,7.0,23.0,JavaScript
UvaSoftware-Scanii-Lambda,21.0,4.0,5.0,JavaScript
SecretsManagerMongoDBRotationMultiUser,62.0,15.0,64.0,Python
deploy-to-s3,15.0,4.0,8.0,Python
Automated-IAM-policy-alerts-and-approvals,6.0,3.0,1.0,JavaScript
AutoUpdateCloudfrontSecurityGroups,4.0,2.0,0.0,Python
kinesis-firehose-cloudwatch-logs-processor,42.0,7.0,23.0,JavaScript
aws-tag-explorer,10.0,1.0,3.0,Python
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,3.0,1.0,3.0,Python
lex-book-trip-python,42.0,7.0,23.0,JavaScript
kinesis-firehose-apachelog-to-json-python,42.0,7.0,23.0,JavaScript
cognito-sync-trigger,42.0,7.0,23.0,JavaScript
inspector-scheduled-run,42.0,7.0,23.0,JavaScript
rsvg-convert-lambda-layer,27.0,1.0,11.0,JavaScript
