function,stars,watchers,forks,language
github-webhook-slack-notifier,0.0,1.0,0.0,JavaScript
sns-to-telegram,0.0,0.0,0.0,Go
GetMetricWidgetImageAndNotifySlack,0.0,1.0,1.0,Python
UpdateLambdaLayers,9.0,0.0,0.0,Python
step-functions-error-python,42.0,7.0,23.0,JavaScript
ecs-task-stats-logger,100.0,12.0,64.0,Python
create-databases-in-rds,0.0,23.0,0.0,Python
create-databases-is-rds,0.0,23.0,0.0,Python
CopyRepoToCodeCommit,2.0,0.0,1.0,Python
config-rule-change-triggered,42.0,7.0,23.0,JavaScript
step-functions-error,42.0,7.0,23.0,JavaScript
logicmonitor-send-eventbridge-events,42.0,7.0,23.0,JavaScript
meta-codepipeline,0.0,1.0,1.0,Shell
ecs-svc-custom-metrics-logger,100.0,12.0,64.0,Python
ssm-parameters-getter-lambda,2.0,0.0,1.0,JavaScript
dynamic-security-group-builder,50.0,3.0,15.0,Makefile
cloudfront-sg-manager,1.0,1.0,0.0,Python
Set-CloudWatch-LogGroup-Expiry,0.0,3.0,0.0,Python
dynamodb-process-stream,42.0,7.0,23.0,JavaScript
speelycaptor,3.0,2.0,0.0,JavaScript
SOSandImageProcessing,0.0,1.0,0.0,None
AIImageProcessor,1.0,0.0,0.0,JavaScript
api-lambda-send-bulk-templated-email-ses,0.0,1.0,0.0,JavaScript
serverless-agentless-honeycomb-publisher,1.0,0.0,0.0,Go
dynamodb-local-python,6.0,0.0,2.0,Python
serverless-cicd-pipeline,1.0,1.0,0.0,None
check-datadog-custom-metrics-usage,0.0,0.0,0.0,JavaScript
s3-lambda-sns-demo,1.0,0.0,0.0,Python
ThundraPythonHelloWorld,2.0,3.0,0.0,Python
GetMetricWidgetImage,0.0,1.0,1.0,Python
aws-serverlessrepo-auto-deploy,0.0,1.0,0.0,Python
config-rule-periodic,42.0,7.0,23.0,JavaScript
acm-cert-validation,0.0,0.0,0.0,Python
